0,0,4
0,1,5
0,2,5
0,3,5
0,4,5
0,1,5
0,1,4
0,1,4
0,5,3
0,1,4
0,6,4
0,7,3
0,7,4
0,1,4
0,8,4
0,9,4
0,10,4
0,1,4
0,1,4
0,1,1
0,1,1
0,11,5
0,1,4
0,12,5
0,13,5
0,14,5
0,15,4
0,16,4
0,1,4
0,17,4
0,1,5
0,18,4
0,19,4
0,1,4
0,1,3
0,20,4
0,21,5
0,22,4
0,1,4
0,23,5
0,1,4
0,1,5
0,1,3
0,1,4
0,1,2
0,24,3
0,25,4
0,1,4
0,1,4
0,1,5
0,1,4
0,1,4
0,26,4
0,1,4
0,1,5
0,1,5
0,27,4
1,28,0
2,28,0
3,28,0
4,29,5
4,30,5
4,31,5
4,32,5
4,33,5
4,34,5
4,35,5
4,36,5
4,37,5
4,38,5
4,39,4
4,40,5
4,41,5
4,42,5
4,43,5
4,44,5
4,45,4
4,46,5
4,47,5
4,28,0
4,48,4
5,49,4
5,50,1
5,51,5
5,52,4
5,53,2
5,54,5
5,55,5
5,56,4
5,57,4
5,58,4
5,59,1
5,60,5
5,61,4
5,62,4
5,63,3
6,64,3
7,28,0
7,65,0
8,66,3
8,67,2
8,68,2
8,69,4
8,70,4
8,71,5
8,71,2
8,1,5
8,72,5
8,1,5
8,73,4
8,74,3
8,75,3
8,76,5
8,77,3
8,1,3
8,78,5
8,79,5
8,79,2
8,1,5
8,80,4
8,81,4
8,82,3
8,80,5
8,76,4
8,83,5
8,84,4
8,85,4
8,86,4
8,87,4
8,1,5
8,88,5
8,89,5
8,1,5
8,90,3
8,1,4
8,1,4
8,91,3
8,92,3
8,93,4
8,94,2
8,95,5
8,96,5
8,97,5
8,1,5
8,1,2
8,1,5
8,98,5
8,99,2
8,1,5
8,1,5
8,100,3
8,1,4
8,101,5
8,102,5
8,103,4
8,104,4
8,1,5
8,105,5
8,106,5
8,107,5
8,108,3
8,1,5
8,109,2
8,1,5
8,110,1
8,111,4
8,112,2
8,113,4
8,114,3
8,115,5
8,116,5
8,1,4
8,117,4
8,118,3
8,119,5
8,120,5
8,121,4
8,122,3
8,123,5
8,67,4
8,124,1
8,125,5
